[2025-05-11 13:13:28] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:28] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:32] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:32] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:35] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:35] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:42] ERROR: Method=GET, IP=[::1]:37464, User-Agent=PostmanRuntime/7.43.4, Endpoint=/tasks-id, Status=404, ResponseTime=0s, Error=Task tidak ditemukan, ID: 1
[2025-05-11 13:13:42] ERROR: Method=GET, IP=[::1]:37464, User-Agent=PostmanRuntime/7.43.4, Endpoint=/tasks-id, Status=404, ResponseTime=1.6029ms, Error=Task not found
[2025-05-11 13:13:54] INFO: Method=GET, IP=[::1]:37464, User-Agent=PostmanRuntime/7.43.4, Endpoint=/tasks-id, Status=200, ResponseTime=663.7µs, Message=Fetched task by ID
[2025-05-11 13:16:14] ERROR: Method=GET, IP=[::1]:52688, User-Agent=PostmanRuntime/7.43.4, Endpoint=/tasks-id, Status=404, ResponseTime=0s, Error=Task tidak ditemukan, ID: 1
[2025-05-11 13:16:14] ERROR: Method=GET, IP=[::1]:52688, User-Agent=PostmanRuntime/7.43.4, Endpoint=/tasks-id, Status=404, ResponseTime=6.4195ms, Error=Task not found
[2025-05-11 13:24:30] ERROR: Method=GET, IP=127.0.0.1:47538, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=1.1836ms, Error=Data task ongoing tidak ditemukan
[2025-05-11 13:24:30] INFO: Method=GET, IP=127.0.0.1:47540, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=576.6µs, Message=Fetched completed tasks
[2025-05-11 13:26:03] ERROR: Method=GET, IP=127.0.0.1:39964, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=645.1µs, Error=Data task ongoing tidak ditemukan
[2025-05-11 13:26:03] INFO: Method=GET, IP=127.0.0.1:39966, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=381.9µs, Message=Fetched completed tasks
[2025-05-11 13:26:15] ERROR: Method=GET, IP=127.0.0.1:41292, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=602.6µs, Error=Data task ongoing tidak ditemukan
[2025-05-11 13:26:15] INFO: Method=GET, IP=127.0.0.1:41302, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=472.1µs, Message=Fetched completed tasks
[2025-05-11 13:29:42] ERROR: Method=GET, IP=127.0.0.1:49494, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=742.3µs, Error=Data task ongoing tidak ditemukan
